Java HotSpot(TM) Client VM (25.60-b23) for windows-x86 JRE (1.8.0_60-b27), built on Aug  4 2015 10:57:40 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 3399160k(995136k free), swap 6796604k(3629564k free)
CommandLine flags: -XX:InitialHeapSize=1048576000 -XX:MaxHeapSize=1048576000 -XX:MaxNewSize=1048576 -XX:NewSize=1048576 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
6.747: [GC (Allocation Failure) 6.747: [DefNew: 960K->64K(960K), 0.0057073 secs] 85553K->85538K(1023936K), 0.0058075 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.819: [GC (Allocation Failure) 6.819: [DefNew: 960K->63K(960K), 0.0031911 secs] 86434K->86403K(1023936K), 0.0032675 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
6.867: [GC (Allocation Failure) 6.867: [DefNew: 959K->64K(960K), 0.0052074 secs] 87299K->87276K(1023936K), 0.0053156 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.945: [GC (Allocation Failure) 6.945: [DefNew: 960K->63K(960K), 0.0057572 secs] 88172K->88151K(1023936K), 0.0058564 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.992: [GC (Allocation Failure) 6.992: [DefNew: 959K->63K(960K), 0.0058522 secs] 89047K->89035K(1023936K), 0.0059475 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.041: [GC (Allocation Failure) 7.041: [DefNew: 959K->63K(960K), 0.0055652 secs] 89931K->89921K(1023936K), 0.0056630 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.145: [GC (Allocation Failure) 7.145: [DefNew: 959K->64K(960K), 0.0033464 secs] 90817K->90796K(1023936K), 0.0034183 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.224: [GC (Allocation Failure) 7.224: [DefNew: 960K->64K(960K), 0.0063535 secs] 91692K->91670K(1023936K), 0.0064645 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
7.271: [GC (Allocation Failure) 7.271: [DefNew: 960K->64K(960K), 0.0060868 secs] 92566K->92542K(1023936K), 0.0061856 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
7.355: [GC (Allocation Failure) 7.355: [DefNew: 960K->63K(960K), 0.0056609 secs] 93438K->93421K(1023936K), 0.0057600 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
